Animal,Forebrain m,Cerebellum m,Forebrain n,Cerebellum n,Body m
,,,,,
African sheath-tailed bat,0.0899,0.054,"5,080,000","47,984,000",11.5
Little free-tailed bat,0.084,0.036,"5,632,000","25,324,000",5.4
Rufous trident bat,0.093,0.072,"6,039,000","59,651,000",13.7
Common bent-wing bat,0.0858,0.0485,"6,116,000","44,447,000",11.6
Naked mole-rat,0.184,0.048,"6,150,000","15,740,000",35.3
Commerson's roundleaf bat,0.243,0.107,"7,877,000","51,875,000",101.9
Smoky shrew,0.084,0.02,"9,730,000","20,870,000",7.5
Ansell's mole-rat,0.291,0.2,"9,730,000","75,440,000",93.45
Heart-nosed bat,0.257,0.103,"10,221,000","63,792,000",26
Short-palated fruit bat,0.461,0.127,"10,471,000","77,445,000",27
Common mole-rat,0.183,0.121,"11,730,000","68,810,000",68.58
Northern short-tailed shrew,0.197,0.037,"11,876,000","33,430,000",21.6
Woermann's bat,0.309,0.079,"11,897,000","49,734,000",17.9
Mashona mole-rat,0.271,0.156,"12,490,000","84,910,000",115.19
Zenker's fruit bat,0.323,0.085,"12,847,000","47,217,000",16.1
House mouse,0.173,0.056,"13,690,000","42,220,000",20.5
Hairy-tailed mole,0.429,0.102,"15,690,000","100,780,000",62.5
Golden hamster,0.446,0.145,"17,140,000","61,210,000",105
Star-nosed mole,0.42,0.138,"17,250,000","105,920,000",55.3
Cryptomys Natalensis,0.321,0.175,"17,460,000","109,750,000",99.02
Brown four-eyed opossum,0.992,0.342,"20,190,000","134,130,000",407
Grey slender mouse opossum,0.408,0.158,"20,410,000","82,400,000",100
Highveld mole-rat,0.315,0.188,"20,560,000","120,580,000",104.27
Damaraland mole-rat,0.311,0.201,"21,270,000","129,960,000",110.53
Hottentot golden mole,0.439,0.084,"21,516,000","34,488,000",79
Grey mouse lemur,0.908,0.391,"22,310,000","221,380,000",64.8
Franquet's epauletted fruit bat,1.04,0.286,"22,533,000","150,660,000",120
Mechow's mole-rat,0.627,0.391,"23,320,000","122,640,000",270.16
Hammer-headed bat,1.805,0.456,"24,343,000","221,298,000",310
Silvery mole-rat,0.457,0.215,"25,440,000","94,820,000",180.51
Cape mole-rat,0.401,0.25,"25,600,000","116,740,000",155.09
Eastern rock elephant shrew,0.471,0.168,"25,865,000","89,312,000",45.1
Cayenne spiny rat,0.924,0.33,"26,090,000","162,510,000",356.5
Wahlberg's epauletted fruit bat,0.634,0.193,"26,201,000","121,136,000",74
Eastern mole,0.476,0.153,"26,680,000","158,550,000",90
Egyptian fruit bat,0.985,0.219,"28,859,000","132,436,000",120
Brown rat,0.769,0.272,"31,020,000","139,170,000",300
Four-toed elephant shrew,1.239,0.304,"33,947,000","110,650,000",210
Ferret,3.123,0.92,"38,950,000","351,260,000",809
Big-eared opossum,2.136,0.778,"42,500,000","334,260,000",1200
Cape dune mole-rat,1.011,0.683,"43,480,000","268,890,000",907.82
Guinea pig,1.938,0.5,"43,510,000","167,850,000",728
Prairie dog,2.586,0.789,"53,768,000","350,085,000",1515
Common tree shrew,1.455,0.326,"60,390,000","185,280,000",200
European rabbit,4.448,1.412,"71,450,000","396,670,000",1800
Eastern grey squirrel,2.73,0.874,"77,330,000","342,830,000",533
Western tree hyrax,7.56,1.918,"98,960,000","360,929,000",1150
Black-rumped agouti*,8.913,2.742,"110,640,000","673,490,000",2843.3
Banded mongoose,9.29,1.548,"115,770,000","315,740,000",1332
Tasmanian devil*,5.228,1.434,"122,600,000","601,070,000",8200
Parma wallaby,9.914,1.69,"135,620,000","558,080,000",4268
Rock hyrax,10.478,2.058,"197,930,000","488,370,000",3600
Swamp wallaby,15.182,4.42,"208,110,000","1,200,000,000",12066
Northern greater galago,6.29,1.196,"226,090,000","743,500,000",1300
Raccoon dog,15.53,3.26,"240,180,000","844,740,000",8545
Common marmoset,5.561,0.73,"244,720,000","361,370,000",255.2
House cat,24.176,5.11,"249,830,000","942,900,000",3900
Brown bear,222,45.106,"250,970,000","9,253,000,000",277500
Bennett's wallaby,16.102,3.572,"256,780,000","1,020,000,000",11110
Goodfellow's tree-kangaroo,19.57,4.236,"273,430,000","1,240,000,000",13608
Capybara,48.175,6.632,"306,500,000","1,157,000,000",55000
Domestic pig,42.404,8.128,"307,082,000","1,858,000,000",130000
Red fox,24.41,4.823,"355,010,000","1,640,000,000",5490
Western grey kangaroo,40.194,7.358,"370,170,000","1,990,000,000",25855
Golden jackal,34.88,4.97,"393,620,000","1,218,000,000",9200
Springbok,68.806,11.458,"396,900,000","2,257,000,000",39000
Raccoon,24.491,3.338,"437,940,000","1,646,000,000",6000
West highland white terrier (dog),46.56,7.342,"440,160,000","2,187,000,000",9400
Three-striped night monkey,10.617,1.732,"441,900,000","1,040,000,000",800
Chow chow (dog),39.74,7.82,"471,500,000","1,969,000,000",26000
Striped hyena,67.45,14.032,"495,280,000","3,330,000,000",40000
Chihuahua (dog),32.48,5.06,"513,330,000","1,819,000,000",4000
Domestic dog,65.491,7.512,"527,910,000","1,676,000,000",19700
Lion,139.902,24.882,"545,240,000","4,049,000,000",175000
Blesbok,111.31,13.402,"570,670,000","2,401,000,000",84500
Yorkshire terrier (dog),38.74,6.063,"572,140,000","1,811,000,000",7600
Transylvanian hound (dog),81.3,11.189,"725,760,000","3,413,000,000",31500
Greater kudu,213.37,31.776,"762,000,000","4,042,000,000",217500
Long-tailed macaque,36.226,5.642,"800,960,000","2,572,000,000",6363
Beagle (dog),53.11,10.938,"844,410,000","3,222,000,000",12300
Komondor (dog),97.75,15.752,"883,380,000","2,912,000,000",48400
German shepherd (dog),70.37,9.752,"885,460,000","2,454,000,000",44400
Brown capuchin,39.178,4.6,"1,140,000,000","2,490,000,000",2643
Common squirrel monkey,20.652,4.3,"1,340,000,000","1,820,000,000",925
Bonnet macaque,48.274,5.748,"1,655,000,000","2,038,000,000",6755
Rhesus macaque,69.832,7.694,"1,710,000,000","4,550,000,000",8235
Giraffe,398.808,67.73,"1,731,000,000","8,878,000,000",800000
Harbour porpoise,382.77,106.14,"2,770,000,000","23,400,000,000",52500
Yellow baboon,120.214,13.745,"2,875,000,000","7,794,000,000",20000
Common minke whale,2037.024,415.918,"3,134,000,000","54,216,000,000",7500000
African elephant,2847,1171,"5,593,000,000","250,700,000,000",4800000
Short-finned pilot whale,1835.9,377.442,"11,850,000,000","114,917,000,000",2200000
Human,1232,154.02,"16,340,000,000","69,030,000,000",62035
