,Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m
1,African sheath-tailed bat,0.0899,0.054,0.098,5080000.0,47984000.0,5514000.0,11.5
2,Little free-tailed bat,0.084,0.036,0.084,5632000.0,25324000.0,4001000.0,5.4
3,Rufous trident bat,0.093,0.072,0.084,6039000.0,59651000.0,4072000.0,13.7
4,Common bent-wing bat,0.0858,0.0485,0.086,6116000.0,44447000.0,5094000.0,11.6
5,Naked mole-rat,0.184,0.048,0.16,6150000.0,15740000.0,4980000.0,35.3
6,Commerson's roundleaf bat,0.243,0.107,0.237,7877000.0,51875000.0,6965000.0,101.9
7,Smoky shrew,0.084,0.02,0.072,9730000.0,20870000.0,5560000.0,7.5
8,Heart-nosed bat,0.257,0.103,0.201,10221000.0,63792000.0,7317000.0,26.0
9,Short-palated fruit bat,0.461,0.127,0.301,10471000.0,77445000.0,11098000.0,27.0
10,Northern short-tailed shrew,0.197,0.037,0.113,11876000.0,33430000.0,6340000.0,21.6
11,Woermann's bat,0.309,0.079,0.159,11897000.0,49734000.0,4097000.0,17.9
12,Zenker's fruit bat,0.323,0.085,0.177,12847000.0,47217000.0,5529000.0,16.1
13,House mouse,0.173,0.056,0.172,13690000.0,42220000.0,11960000.0,20.5
14,Hairy-tailed mole,0.429,0.102,0.228,15690000.0,100780000.0,7130000.0,62.5
15,Golden hamster,0.446,0.145,0.375,17140000.0,61210000.0,5870000.0,105.0
16,Star-nosed mole,0.42,0.138,0.244,17250000.0,105920000.0,8160000.0,55.3
17,Grey mouse lemur,0.908,0.391,0.5,22310000.0,221380000.0,11010000.0,64.8
18,Franquet's epauletted fruit bat,1.04,0.286,0.712,22533000.0,150660000.0,12808000.0,120.0
19,Hammer-headed bat,1.805,0.456,1.169,24343000.0,221298000.0,28877000.0,310.0
20,Cayenne spiny rat,0.924,0.33,0.824,26090000.0,162510000.0,13490000.0,356.5
21,Wahlberg's epauletted fruit bat,0.634,0.193,0.386,26201000.0,121136000.0,14416000.0,74.0
22,Eastern mole,0.476,0.153,0.37,26680000.0,158550000.0,16560000.0,90.0
23,Egyptian fruit bat,0.985,0.219,0.547,28859000.0,132436000.0,10936000.0,120.0
24,Brown rat,0.769,0.272,0.683,31020000.0,139170000.0,18680000.0,300.0
25,Four-toed elephant shrew,1.239,0.304,0.894,33947000.0,110650000.0,12230000.0,210.0
26,Ferret,3.123,0.92,1.386,38950000.0,351260000.0,14210000.0,809.0
27,Guinea pig,1.938,0.5,1.218,43510000.0,167850000.0,22190000.0,728.0
28,Common tree shrew,1.455,0.326,0.919,60390000.0,185280000.0,22480000.0,200.0
29,European rabbit,4.448,1.412,3.272,71450000.0,396670000.0,26080000.0,1800.0
30,Eastern grey squirrel,2.73,0.874,1.943,77330000.0,342830000.0,33490000.0,533.0
31,Banded mongoose,9.29,1.548,3.454,115770000.0,315740000.0,22510000.0,1332.0
32,Rock hyrax,10.478,2.058,4.317,197930000.0,488370000.0,69350000.0,3600.0
33,Northern greater galago,6.29,1.196,2.131,226090000.0,743500000.0,20800000.0,1300.0
34,Common marmoset,5.561,0.73,1.489,244720000.0,361370000.0,29720000.0,255.2
35,House cat,24.176,5.11,5.572,249830000.0,942900000.0,22470000.0,3900.0
36,Brown bear,222.0,45.106,47.898,250970000.0,9253000000.0,81380000.0,277500.0
37,Capybara,48.175,6.632,19.927,306500000.0,1157000000.0,108000000.0,55000.0
38,Springbok,68.806,11.458,25.81,396900000.0,2257000000.0,70400000.0,39000.0
39,Raccoon,24.491,3.338,6.357,437940000.0,1646000000.0,48570000.0,6000.0
40,Three-striped night monkey,10.617,1.732,3.104,441900000.0,1040000000.0,49340000.0,800.0
41,Striped hyena,67.45,14.032,17.732,495280000.0,3330000000.0,55490000.0,40000.0
42,Domestic dog,65.491,7.512,13.459,527910000.0,1676000000.0,48150000.0,40000.0
43,Lion,139.902,24.882,34.162,545240000.0,4049000000.0,72040000.0,175000.0
44,Blesbok,111.31,13.402,30.006,570670000.0,2401000000.0,86400000.0,84500.0
45,Greater kudu,213.37,31.776,61.716,762000000.0,4042000000.0,106500000.0,217500.0
46,Long-tailed macaque,36.226,5.642,4.294,800960000.0,2572000000.0,65440000.0,6363.0
47,Brown capuchin,39.178,4.6,8.43,1140000000.0,2490000000.0,61850000.0,2643.0
48,Common squirrel monkey,20.652,4.3,5.004,1340000000.0,1820000000.0,65530000.0,925.0
49,Bonnet macaque,48.274,5.748,7.448,1655000000.0,2038000000.0,61350000.0,6755.0
50,Rhesus macaque,69.832,7.694,9.204,1710000000.0,4550000000.0,121900000.0,8235.0
51,Giraffe,398.808,67.73,70.68,1731000000.0,8878000000.0,142600000.0,800000.0
52,Harbour porpoise,382.77,106.14,74.62,2770000000.0,23400000000.0,114000000.0,52500.0
53,Yellow baboon,120.214,13.745,17.235,2875000000.0,7794000000.0,278100000.0,20000.0
54,African elephant,2847.0,1171.0,564.0,5593000000.0,250700000000.0,741000000.0,4800000.0
55,Human,1232.0,154.02,117.669,16340000000.0,69030000000.0,690000000.0,62035.0
